,ID,Name,Rating,Rating_score,Rating_bin,Cluster,Predict_bin
70077,73,"Dragons of Autumn Twilight (Dragonlance: Chronicles, #1)",liked it,3,0,0,0.0
70508,73,"Thud! (Discworld, #34)",really liked it,4,1,0,0.0
319,73,"The Hunger Games (The Hunger Games, #1)",really liked it,4,1,0,0.0
69979,73,Walkaway,really liked it,4,1,0,0.0
71787,73,"The Dark Tower (The Dark Tower, #7)",liked it,3,0,0,0.0
17996,73,The Underground Railroad,liked it,3,0,0,0.0
70778,73,The Patchwork Girl,it was ok,2,0,0,1.0
70576,73,"Virtual Light (Bridge, #1)",it was amazing,5,1,0,1.0
70075,73,A Fall of Moondust,it was ok,2,0,0,0.0
70348,73,Shiloh,liked it,3,0,0,0.0
70750,73,Neverwhere,liked it,3,0,0,0.0
70715,73,Lunch at the Piccadilly,really liked it,4,1,0,0.0
70527,73,"Time of the Twins (Dragonlance: Legends, #1)",it was ok,2,0,0,0.0
71866,73,Agent to the Stars,really liked it,4,1,0,1.0
54066,73,The Crying of Lot 49,it was ok,2,0,0,0.0
1,73,"The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy, #2)",really liked it,4,1,0,1.0
69592,73,Why We Love Cats,really liked it,4,1,0,0.0
71875,73,"The Naked Sun (Robot, #2)",liked it,3,0,0,0.0
13376,73,Aurora,really liked it,4,1,0,0.0
57157,73,"The Long Dark Tea-Time of the Soul (Dirk Gently, #2)",liked it,3,0,0,1.0
69882,73,Song of Susannah,really liked it,4,1,0,1.0
70020,73,"Dragonsong (Pern: Harper Hall, #1)",liked it,3,0,0,0.0
69799,73,"Wizard and Glass (The Dark Tower, #4)",liked it,3,0,0,0.0
14336,73,1984,it was amazing,5,1,1,0.0
70996,73,Builders of the Pacific Coast,it was amazing,5,1,1,0.0
38444,73,Robinson Crusoe,really liked it,4,1,1,1.0
72013,73,Flatland: A Romance of Many Dimensions,did not like it,1,0,1,1.0
70088,73,Hicksville,really liked it,4,1,1,1.0
69858,73,Utopia,really liked it,4,1,1,1.0
70019,73,"DMZ, Vol. 5: The Hidden War",liked it,3,0,1,1.0
68807,73,"God Bless You, Mr. Rosewater",liked it,3,0,1,1.0
70513,73,A Sand County Almanac and Sketches Here and There,it was ok,2,0,1,0.0
70890,73,Redeye: A Western,really liked it,4,1,1,1.0
9686,73,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",it was amazing,5,1,1,1.0
38974,73,The Unbearable Lightness of Being,liked it,3,0,1,1.0
70672,73,Armada,liked it,3,0,1,1.0
70897,73,California,really liked it,4,1,1,1.0
44415,73,Dubliners,liked it,3,0,1,0.0
55999,73,Kitchen Confidential: Adventures in the Culinary Underbelly,really liked it,4,1,1,1.0
70522,73,Information Architecture for the World Wide Web: Designing Large-Scale Web Sites,really liked it,4,1,2,0.0
71500,73,Sailing the Wine-Dark Sea: Why the Greeks Matter,really liked it,4,1,2,0.0
70701,73,Mountaineering: The Freedom of the Hills,it was amazing,5,1,2,0.0
57870,73,The Art of Game Design: A Book of Lenses,really liked it,4,1,2,0.0
40098,73,The Prince,it was ok,2,0,2,0.0
69978,73,A Practical Guide to Linux,it was ok,2,0,2,0.0
69618,73,The Crucible,did not like it,1,0,2,0.0
70521,73,The Career Programmer: Guerilla Tactics for an Imperfect World,did not like it,1,0,2,1.0
70386,73,Costa Rica,liked it,3,0,2,0.0
26858,73,"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",really liked it,4,1,2,0.0
52337,116,Brave New World,it was amazing,5,1,3,1.0
47077,116,Collapse: How Societies Choose to Fail or Succeed,it was amazing,5,1,3,1.0
19227,116,Lord of the Flies,really liked it,4,1,1,1.0
14339,116,1984,it was amazing,5,1,1,1.0
15914,116,The Adventures of Huckleberry Finn,it was amazing,5,1,1,1.0
76755,116,Jitterbug Perfume,it was amazing,5,1,0,1.0
25860,116,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",liked it,3,0,0,0.0
13943,171,"The Lord of the Rings (The Lord of the Rings, #1-3)",it was amazing,5,1,3,1.0
19053,171,Chapterhouse: Dune (Dune Chronicles #6),really liked it,4,1,3,1.0
93866,171,"The Bonehunters (Malazan Book of the Fallen, #6)",it was amazing,5,1,3,1.0
15088,171,"The Two Towers (The Lord of the Rings, #2)",it was amazing,5,1,3,1.0
93859,171,"Memories of Ice (Malazan Book of the Fallen, #3)",it was amazing,5,1,3,1.0
13387,171,"A Feast for Crows (A Song of Ice and Fire, #4)",it was amazing,5,1,3,1.0
93545,171,"The Honor of the Queen (Honor Harrington, #2)",it was amazing,5,1,3,1.0
93473,171,"The Mists of Avalon (Avalon, #1)",it was amazing,5,1,3,1.0
93646,171,"A Game of You (The Sandman, #5)",it was amazing,5,1,0,1.0
9692,171,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",it was amazing,5,1,1,1.0
93541,171,Superman for All Seasons,it was amazing,5,1,1,1.0
93798,171,"Preludes & Nocturnes (The Sandman, #1)",it was amazing,5,1,1,1.0
117936,338,"Monday Mourning (Temperance Brennan, #7)",liked it,3,0,0,0.0
90824,338,"Déjà Dead (Temperance Brennan, #1)",really liked it,4,1,0,0.0
117261,338,"The Falcon at the Portal (Amelia Peabody, #11)",really liked it,4,1,0,1.0
117887,338,Eden Close,really liked it,4,1,0,1.0
116872,338,Dear Mili,really liked it,4,1,0,1.0
101720,338,The Good Thief,liked it,3,0,0,1.0
71960,338,"Old Man's War (Old Man's War, #1)",really liked it,4,1,0,1.0
86967,338,"Unnatural Exposure (Kay Scarpetta, #8)",liked it,3,0,0,1.0
86234,338,"Seven Up (Stephanie Plum, #7)",liked it,3,0,0,0.0
116432,338,"Dragonflight (Dragonriders of Pern, #1)",it was amazing,5,1,0,0.0
110333,338,Yertle the Turtle and Other Stories,really liked it,4,1,0,1.0
85312,338,"Fearless Fourteen (Stephanie Plum, #14)",liked it,3,0,0,0.0
117378,338,"The Angel Experiment (Maximum Ride, #1)",liked it,3,0,0,0.0
47202,338,"The Giver (The Giver, #1)",really liked it,4,1,0,0.0
117189,338,Daughter of Fortune,really liked it,4,1,0,1.0
116540,338,"Life As We Knew It (Last Survivors, #1)",really liked it,4,1,0,1.0
78398,338,"Anne of the Island (Anne of Green Gables, #3)",liked it,3,0,0,1.0
106172,338,Stuart Little,liked it,3,0,0,1.0
109383,338,"Misty of Chincoteague (Misty, #1)",really liked it,4,1,0,1.0
117743,338,Watchman,really liked it,4,1,0,1.0
26450,338,Old Yeller,really liked it,4,1,0,1.0
82974,338,The Rainmaker,liked it,3,0,0,0.0
86266,338,"Trace (Kay Scarpetta, #13)",liked it,3,0,0,0.0
116290,338,"Hot Six (Stephanie Plum, #6)",liked it,3,0,0,0.0
117142,338,Resistance,really liked it,4,1,0,1.0
116213,338,Katy and the Big Snow,really liked it,4,1,0,0.0
86081,338,"Four to Score (Stephanie Plum, #4)",liked it,3,0,0,0.0
65820,338,Seabiscuit: An American Legend,liked it,3,0,0,0.0
35542,338,Goodnight Moon,really liked it,4,1,0,1.0
22899,338,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",really liked it,4,1,0,0.0
95076,338,"Devil in a Blue Dress (Easy Rawlins, #1)",liked it,3,0,0,0.0
116699,338,What We Keep,liked it,3,0,0,0.0
36673,338,The Egypt Game,really liked it,4,1,0,1.0
113331,338,"The Passage (The Passage, #1)",really liked it,4,1,0,0.0
1888,338,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",really liked it,4,1,0,1.0
17371,338,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",really liked it,4,1,0,1.0
22254,338,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",really liked it,4,1,0,1.0
117594,338,Into the Forest,it was ok,2,0,0,1.0
48060,338,"The Likeness (Dublin Murder Squad, #2)",liked it,3,0,0,1.0
85709,338,"Dead as a Doornail (Sookie Stackhouse, #5)",liked it,3,0,0,0.0
117328,338,Rollback,really liked it,4,1,0,1.0
58916,338,Little Bee,liked it,3,0,0,0.0
116517,338,And Both Were Young,really liked it,4,1,0,1.0
5443,338,Where the Red Fern Grows,really liked it,4,1,0,0.0
59579,338,The Good House,really liked it,4,1,0,1.0
116148,338,One Morning in Maine,it was amazing,5,1,0,1.0
87264,338,"A is for Alibi (Kinsey Millhone, #1)",really liked it,4,1,0,1.0
116993,338,"Engaging the Enemy (Vatta's War, #3)",really liked it,4,1,0,1.0
116391,338,"Three to Get Deadly (Stephanie Plum, #3)",liked it,3,0,0,0.0
116652,338,"The Boxcar Children (The Boxcar Children, #1)",really liked it,4,1,0,1.0
89326,338,Plan B,it was ok,2,0,0,1.0
116822,338,"The Front (Winston Garano, #2)",really liked it,4,1,0,1.0
117892,338,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",really liked it,4,1,0,1.0
31316,338,Gone with the Wind,liked it,3,0,0,1.0
2838,338,"Kiss the Girls (Alex Cross, #2)",liked it,3,0,0,1.0
117325,338,"A House Like a Lotus (O'Keefe Family, #3)",really liked it,4,1,0,1.0
34938,338,The Runaway Bunny,liked it,3,0,0,1.0
71906,338,"Charlie and the Great Glass Elevator (Charlie Bucket, #2)",it was amazing,5,1,0,1.0
116231,338,"The Snake, the Crocodile and the Dog (Amelia Peabody, #7)",really liked it,4,1,0,1.0
98023,338,The Velveteen Rabbit,it was amazing,5,1,0,1.0
82202,338,The Bridges of Madison County,it was ok,2,0,0,0.0
8132,338,Where the Wild Things Are,it was amazing,5,1,0,1.0
93294,338,The Tenderness of Wolves,really liked it,4,1,0,0.0
117013,338,The Littles,really liked it,4,1,0,0.0
117091,338,"Burt Dow, Deep-Water Man",really liked it,4,1,0,1.0
86170,338,"Hard Eight (Stephanie Plum, #8)",liked it,3,0,0,0.0
1509,338,"The Girl with the Dragon Tattoo (Millennium, #1)",really liked it,4,1,0,1.0
100071,338,The Shack,did not like it,1,0,0,0.0
113916,338,"1st to Die (Women's Murder Club, #1)",really liked it,4,1,0,1.0
86114,338,"High Five (Stephanie Plum, #5)",liked it,3,0,0,1.0
87160,338,"All Together Dead (Sookie Stackhouse, #7)",liked it,3,0,0,0.0
87314,338,"All That Remains (Kay Scarpetta, #3)",really liked it,4,1,0,0.0
6802,338,Where the Sidewalk Ends,really liked it,4,1,0,1.0
8711,338,"The Bourne Identity (Jason Bourne, #1)",really liked it,4,1,0,0.0
117942,338,Sea Glass,liked it,3,0,0,1.0
78886,338,The Reader,really liked it,4,1,0,0.0
83475,338,An Ideal Husband,really liked it,4,1,3,1.0
78999,338,"The Last Enchantment (Arthurian Saga, #3)",really liked it,4,1,3,0.0
44672,338,"The Clan of the Cave Bear (Earth's Children, #1)",liked it,3,0,3,1.0
114099,338,"Further Tales of the City (Tales of the City, #3)",it was ok,2,0,3,0.0
69522,338,Childhood's End,it was amazing,5,1,3,1.0
116068,338,Pope Joan,really liked it,4,1,3,1.0
2523,338,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,liked it,3,0,3,0.0
29324,338,Jane Eyre,it was amazing,5,1,3,1.0
116519,338,Angel Landing,liked it,3,0,3,1.0
75941,338,The Amazing Adventures of Kavalier & Clay,liked it,3,0,3,1.0
57486,338,Prey,it was ok,2,0,3,1.0
21543,338,Blink: The Power of Thinking Without Thinking,liked it,3,0,3,1.0
116595,338,Inheritance,liked it,3,0,3,0.0
35931,338,Lolita,really liked it,4,1,3,0.0
77975,338,Kindred,really liked it,4,1,3,0.0
50265,338,Disgrace,it was ok,2,0,3,0.0
117696,338,"The Last Olympian (Percy Jackson and the Olympians, #5)",really liked it,4,1,3,0.0
6261,338,Frankenstein,liked it,3,0,3,1.0
117624,338,The Passion of Artemisia,liked it,3,0,3,1.0
6466,338,The Scarlet Letter,really liked it,4,1,3,1.0
52119,338,"Rendezvous with Rama (Rama, #1)",it was amazing,5,1,3,1.0
103941,338,Wicked: The Life and Times of the Wicked Witch of the West,really liked it,4,1,3,1.0
116125,338,"Welcome to the World, Baby Girl! (Elmwood Springs, #1)",liked it,3,0,3,0.0
84535,338,"Labyrinth (Languedoc, #1)",really liked it,4,1,3,1.0
10001,338,Stardust,really liked it,4,1,3,1.0
117953,338,Red Azalea,liked it,3,0,3,0.0
33088,338,The Martian Chronicles,liked it,3,0,3,1.0
116683,338,George Washington,really liked it,4,1,3,1.0
113039,338,"Inkdeath (Inkworld, #3)",it was ok,2,0,3,0.0
108180,338,"Lady of Avalon (Avalon, #3)",it was amazing,5,1,3,1.0
2984,338,"The Golden Compass (His Dark Materials, #1)",really liked it,4,1,3,0.0
50946,338,"The Alienist (Dr. Laszlo Kreizler, #1)",really liked it,4,1,3,0.0
117156,338,"Parable of the Talents (Earthseed, #2)",really liked it,4,1,3,1.0
117388,338,Friday,really liked it,4,1,3,1.0
116273,338,Harvest,really liked it,4,1,3,1.0
4092,338,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",really liked it,4,1,3,1.0
112764,338,"The Queen of the Damned (The Vampire Chronicles, #3)",really liked it,4,1,3,1.0
116326,338,The Bone Garden,really liked it,4,1,3,0.0
8535,338,"Red Mars (Mars Trilogy, #1)",really liked it,4,1,3,0.0
72414,338,War and Peace,really liked it,4,1,3,0.0
39325,338,"Little Town on the Prairie (Little House, #7)",really liked it,4,1,3,0.0
117514,338,Surfacing,really liked it,4,1,3,1.0
116788,338,Calculating God,liked it,3,0,3,0.0
117882,338,"A Murder on the Appian Way (Roma Sub Rosa, #5)",really liked it,4,1,3,0.0
117724,338,"Sepulchre (Languedoc, #2)",liked it,3,0,3,0.0
116968,338,"How to Train Your Dragon (How to Train Your Dragon, #1)",it was ok,2,0,3,0.0
51231,338,The White Tiger,liked it,3,0,3,1.0
18131,338,The Little Prince,it was amazing,5,1,3,1.0
116997,338,"Imago (Xenogenesis, #3)",liked it,3,0,3,1.0
116512,338,A Sky So Close: A Novel,really liked it,4,1,3,0.0
96433,338,The Whore's Child and Other Stories,liked it,3,0,3,1.0
78939,338,"The Wicked Day (Arthurian Saga, #4)",really liked it,4,1,3,1.0
117431,338,Trans-Sister Radio,liked it,3,0,3,1.0
68429,338,"Dragonfly in Amber (Outlander, #2)",liked it,3,0,3,1.0
117854,338,The Delivery Man,it was ok,2,0,3,0.0
83796,338,Bridge of Sighs,liked it,3,0,3,0.0
116023,338,Medea,liked it,3,0,3,0.0
63196,338,Empire Falls,really liked it,4,1,3,0.0
39358,338,"The Long Winter (Little House, #6)",it was amazing,5,1,3,1.0
87986,338,Wide Sargasso Sea,really liked it,4,1,3,1.0
13393,338,"A Feast for Crows (A Song of Ice and Fire, #4)",really liked it,4,1,3,0.0
12918,338,Corduroy,it was amazing,5,1,3,1.0
25633,338,The Secret Garden,really liked it,4,1,3,1.0
110791,338,"Caesar (Masters of Rome, #5)",liked it,3,0,3,0.0
117662,338,The Penelopiad,liked it,3,0,3,1.0
63317,338,The Namesake,really liked it,4,1,3,1.0
55847,338,"The Killer Angels (The Civil War Trilogy, #2)",really liked it,4,1,3,0.0
46727,338,Sarah's Key,really liked it,4,1,3,0.0
9181,338,"The Pillars of the Earth (Kingsbridge, #1)",really liked it,4,1,3,1.0
61568,338,The Thirteenth Tale,liked it,3,0,3,1.0
85438,338,Run,really liked it,4,1,3,1.0
81621,338,American Wife,liked it,3,0,3,0.0
117613,338,"3001: The Final Odyssey (Space Odyssey, #4)",really liked it,4,1,3,1.0
18521,338,One Hundred Years of Solitude,it was amazing,5,1,3,1.0
71006,338,The Red Badge of Courage,liked it,3,0,3,0.0
116753,338,The Heretic's Daughter,liked it,3,0,3,0.0
53928,338,Girl with a Pearl Earring,really liked it,4,1,3,0.0
8798,338,"Neuromancer (Sprawl, #1)",liked it,3,0,3,1.0
70967,338,Anathem,really liked it,4,1,3,1.0
33514,338,Mansfield Park,really liked it,4,1,3,0.0
116865,338,"Adulthood Rites (Xenogenesis, #2)",liked it,3,0,3,1.0
117335,338,"Empire of Blue Water: Captain Morgan's Great Pirate Army, the Epic Battle for the Americas, and the Catastrophe That Ended the Outlaws' Bloody Reign",liked it,3,0,3,0.0
116379,338,Fortune's Rocks,really liked it,4,1,3,1.0
61679,338,The Secret Life of Bees,really liked it,4,1,3,0.0
116933,338,"Death du Jour (Temperance Brennan, #2)",really liked it,4,1,3,0.0
112417,338,"The Tale of the Body Thief (The Vampire Chronicles, #4)",liked it,3,0,3,1.0
116462,338,"Dragondrums (Harper Hall, #3)",really liked it,4,1,3,1.0
102469,338,Waiting,liked it,3,0,3,1.0
116611,338,Among Others,really liked it,4,1,3,1.0
117116,338,"Ringworld (Ringworld, #1)",really liked it,4,1,3,0.0
117952,338,Ben and Me: An Astonishing Life of Benjamin Franklin by His Good Mouse Amos,really liked it,4,1,1,1.0
40312,338,"The House at Pooh Corner (Winnie-the-Pooh, #2)",liked it,3,0,1,1.0
117102,338,Across Five Aprils,really liked it,4,1,1,1.0
116946,338,Twenty Love Poems and a Song of Despair,really liked it,4,1,1,0.0
70096,338,Julius Caesar,it was amazing,5,1,1,1.0
99846,338,The Nightingale,really liked it,4,1,1,1.0
117275,338,Bedtime for Frances,it was amazing,5,1,1,1.0
60527,338,A Tale of Two Cities,really liked it,4,1,1,1.0
59939,338,How the Grinch Stole Christmas!,really liked it,4,1,1,1.0
15942,338,The Adventures of Huckleberry Finn,really liked it,4,1,1,0.0
88407,338,The Westing Game,it was amazing,5,1,1,0.0
116777,338,Whistle for Willie,it was amazing,5,1,1,1.0
38014,338,The Sound and the Fury,liked it,3,0,1,1.0
51309,338,"2001: A Space Odyssey (Space Odyssey, #1)",it was amazing,5,1,1,1.0
117437,338,Oscar and Lucinda,it was ok,2,0,1,0.0
53755,338,A Streetcar Named Desire,really liked it,4,1,1,1.0
56291,338,A Moveable Feast,liked it,3,0,1,0.0
30314,338,"The Crystal Cave (Arthurian Saga, #1)",really liked it,4,1,1,0.0
125337,524,The Sorrows of Young Werther,it was amazing,5,1,1,1.0
125383,524,Forget Me Not: Photography and Remembrance,it was amazing,5,1,1,1.0
125391,524,The Painted Word,really liked it,4,1,1,1.0
104784,524,Anthem,really liked it,4,1,1,1.0
37320,524,Alice's Adventures in Wonderland & Through the Looking-Glass,really liked it,4,1,1,1.0
125394,524,Tom Jones,it was amazing,5,1,1,1.0
34717,524,Persuasion,it was amazing,5,1,1,1.0
92215,524,Mrs. Dalloway,really liked it,4,1,1,1.0
70100,524,Julius Caesar,liked it,3,0,1,1.0
67390,524,Breakfast of Champions,liked it,3,0,1,1.0
12363,524,The Grapes of Wrath,liked it,3,0,1,0.0
13768,524,The Odyssey,it was ok,2,0,1,1.0
36370,524,One Flew Over the Cuckoo's Nest,it was amazing,5,1,0,1.0
97286,524,Blubber,really liked it,4,1,0,1.0
75169,524,Eleven Minutes,liked it,3,0,0,1.0
41287,524,Starring Sally J. Freedman as Herself,really liked it,4,1,0,1.0
105321,524,The Scarlet Pimpernel,really liked it,4,1,0,1.0
12660,524,"Hatchet (Brian's Saga, #1)",liked it,3,0,0,1.0
47211,524,"The Giver (The Giver, #1)",it was amazing,5,1,0,1.0
22273,524,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",it was amazing,5,1,0,1.0
17388,524,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",it was amazing,5,1,0,1.0
21322,524,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",it was amazing,5,1,0,1.0
77749,524,White Noise,really liked it,4,1,3,0.0
24967,524,Of Mice and Men,really liked it,4,1,3,1.0
71418,524,"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy, #3)",liked it,3,0,3,1.0
29338,524,Jane Eyre,it was amazing,5,1,3,1.0
62461,524,Franny and Zooey,really liked it,4,1,3,1.0
35777,524,Death of a Salesman,liked it,3,0,3,1.0
52832,524,All the King's Men,liked it,3,0,3,0.0
41266,524,Ivanhoe,really liked it,4,1,3,1.0
45317,524,To the Lighthouse,it was amazing,5,1,3,1.0
94989,524,A Room of One's Own,it was amazing,5,1,3,1.0
42346,524,The Bell Jar,really liked it,4,1,3,1.0
3181,897,The Razor's Edge,really liked it,4,1,3,1.0
106503,897,Sophie's World,really liked it,4,1,3,1.0
7289,897,Think and Grow Rich,it was ok,2,0,3,0.0
69347,897,Cat's Cradle,really liked it,4,1,3,1.0
15428,897,Great Expectations,really liked it,4,1,3,0.0
15281,897,Outliers: The Story of Success,liked it,3,0,3,1.0
134646,897,"The Ghost War (John Wells, #2)",really liked it,4,1,3,1.0
101836,897,"The Foundation Trilogy (Foundation, #1-3)",really liked it,4,1,3,1.0
11548,897,The Great Gatsby,liked it,3,0,3,1.0
51237,897,The White Tiger,really liked it,4,1,3,0.0
63037,897,The Brothers Karamazov,it was amazing,5,1,3,1.0
134648,897,Your Inner Fish: A Journey Into the 3.5-Billion-Year History of the Human Body,liked it,3,0,3,1.0
71419,897,"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy, #3)",really liked it,4,1,3,1.0
28548,897,"The Da Vinci Code (Robert Langdon, #2)",liked it,3,0,3,0.0
52390,897,Brave New World,really liked it,4,1,3,0.0
12378,897,The Grapes of Wrath,really liked it,4,1,1,1.0
48488,897,Atlas Shrugged,really liked it,4,1,1,1.0
60547,897,A Tale of Two Cities,really liked it,4,1,1,1.0
53159,897,Slaughterhouse-Five,really liked it,4,1,1,1.0
134695,897,A Long Way from Home,liked it,3,0,1,1.0
